itemid,shopid,name,myJSON_Id,image,currency,stock,status,ctime,sold,historical_sold,liked,liked_count,view_count,catid,brand,cmt_count,flag,cb_option,item_status,price,price_min,price_max,price_min_before_discount,price_max_before_discount,hidden_price_display,price_before_discount,has_lowest_price_guarantee,show_discount,raw_discount,discount,is_category_failed,size_chart,item_type,reference_item_id,transparent_background_image,is_adult,badge_icon_type,shopee_verified,is_official_shop,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,coin_earn_label,show_free_shipping,preview_info,coin_info,exclusive_price_info,bundle_deal_id,can_use_bundle_deal,bundle_deal_info,is_group_buy_item,has_group_buy_stock,group_buy_info,welcome_package_type,welcome_package_info,can_use_wholesale,is_preferred_plus_seller,shop_location,has_model_with_available_shopee_stock,is_on_flash_sale,spl_installment_tenure,is_live_streaming_price,shop_name,shop_rating,is_mart,pack_size,overlay_image,autogen_title,autogen_title_id,overlay_id,is_service_by_shopee,flash_sale_stock,flash_sale_design_style,flash_sale_label_content,flash_sale_sold_percentage,info,data_type,key,count,adsid,campaignid,deduction_info,video_display_control,deep_discount_skin,relationship_label,live_stream_session,new_user_label,wp_eligibility,platform_voucher,rcmd_reason,highlight_video,can_use_cod,pub_id,pub_context_id,friend_relationship_label,showing_rs_label,showing_friend_rs_label,show_flash_sale_label,search_id,ext_info,product_banners,top_product_label,fashion_item,image_search,record_Id
14651875268,225359055,Asus ROG Strix  NVIDIA® GeForce RTX® 3050 OC Edition 8GB GDDR6 Graphic Card,20,4404a937fd2531d661709abdb1852742,PHP,4,1,1644806898,5,21,false,266,,100644,,11,0,0,normal,2329000000,2329000000,2329000000,2742000000,2742000000,,2742000000,false,15,15,15%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,14651875268:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
15551872255,225359055,Asus Phoenix NVIDIA® GeForce RTX® 3050 8GB GDDR6 Graphic Card,21,sg-11134201-22100-gtvua63t49hvd9,PHP,4,1,1644805872,1,19,false,345,,100644,,11,0,0,normal,1859000000,1859000000,1859000000,1866000000,1866000000,,1866000000,false,1,1,1%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,15551872255:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
15342645992,225359055,Colorful iGame NVIDIA® GeForce RTX™ 3070 Advanced OC LHR-V 8GB Graphic Card,22,564c41c0e90689805533094262413147,PHP,1,1,1642661336,1,2,false,31,,100644,,1,0,0,normal,3479000000,3479000000,3479000000,4899500000,4899500000,,4899500000,false,29,29,29%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,15342645992:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
11788765886,225359055,Zotac Gaming NVIDIA® GeForce RTX® 3050 Twin Edge OC 8GB Graphic Card,23,62be880713128dc4609d2be7fe647d16,PHP,29,1,1646196716,0,7,false,125,,100644,,4,0,0,normal,1729900000,1729900000,1729900000,2299000000,2299000000,,2299000000,false,25,25,25%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,11788765886:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
13796699734,225359055,Free Bundle Gift - A4Tech OP620D 2x Click Optical USB and Mouse Pad with Design,24,sg-11134201-22090-9iqxe7bn3yhv4c,PHP,8,1,1664260833,22,53,false,6,,100644,,27,196608,0,normal,100000000,100000000,100000000,-1,-1,,0,false,0,0,,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,13796699734:225359055,0,0,0,,0,,,,false,,,,,true,,,,,,false,,,,,,,0
15692287441,225359055,Galax NVIDIA® GeForce® GTX 1660 SUPER™ (1-Click OC) 6GB GDDR6 192-bit DP/HDMI/DVI-D Graphic Card,25,e220315604b79354e2956e2c6055aae6,PHP,1,1,1662355582,12,26,false,150,,100644,,11,196608,0,normal,1405000000,1405000000,1405000000,1699000000,1699000000,,1699000000,false,17,17,17%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,15692287441:225359055,0,0,0,,0,,,,false,,,,,true,,,,,,false,,,,,,,0
14513502969,225359055,Asus TUF Gaming A15 FA506ICB-HN120W NVIDIA® GeForce® RTX™3050 4GB with AMD Ryzen™ 7 4800H Laptop,26,sg-11134201-22100-7v0ljzb2uvivc7,PHP,3,1,1638844926,8,11,false,161,,100644,,6,0,0,normal,4819000000,4819000000,4819000000,6899500000,6899500000,,6899500000,false,30,30,30%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,14513502969:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
19453530003,225359055,Colorful NVIDIA® GeForce RTX® 2060 NB 12G-V 12GB GDDR6 Graphic Card,27,912e2d54f529054e805cd6910c27f68f,PHP,5,1,1665399199,5,9,false,40,,100644,,6,196608,0,normal,1919000000,1919000000,1919000000,2499000000,2499000000,,2499000000,false,23,23,23%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,19453530003:225359055,0,0,0,,0,,,,false,,,,,true,,,,,,false,,,,,,,0
23109262139,225359055,Zotac NVIDIA® GeForce® 1650 AMP Core 4GB GDDR6 Graphic Card,28,sg-11134201-22120-fzaw4pyqmqkv13,PHP,7,1,1670287634,3,3,false,42,,100644,,3,196608,0,normal,899900000,899900000,899900000,1499000000,1499000000,,1499000000,false,40,40,40%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,23109262139:225359055,0,0,0,,0,,,,false,,,,,true,,,,,,false,,,,,,,0
20747315336,225359055,Acer Aspire 7 A715-42G-R5C5 NVIDIA® GeForce RTX® 3050 4GB with AMD Ryzen 5 5500U Laptop,29,10bd944712eb4b0e100df321eb105632,PHP,1,1,1663579179,3,17,false,306,,100644,,13,196608,0,normal,4149000000,4149000000,4149000000,4699900000,4699900000,,4699900000,false,12,12,12%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,20747315336:225359055,0,0,0,,0,,,,false,,,,,true,,,,,,false,,,,,,,0
